term,count,doc_freq,rel_freq
reach,12,11,0.0007353842382644932
lie,12,12,0.0007353842382644932
hour,12,11,0.0007353842382644932
anguish,12,11,0.0007353842382644932
road,12,11,0.0007353842382644932
got,12,9,0.0007353842382644932
brain,12,8,0.0007353842382644932
march,12,8,0.0007353842382644932
paradise,12,12,0.0007353842382644932
word,12,9,0.0007353842382644932
next,12,9,0.0007353842382644932
hill,12,11,0.0007353842382644932
yellow,12,11,0.0007353842382644932
silver,12,12,0.0007353842382644932
narrow,12,9,0.0007353842382644932
emily,12,3,0.0007353842382644932
dickinson,12,3,0.0007353842382644932
break,11,11,0.0006741022184091188
bear,11,10,0.0006741022184091188
least,11,11,0.0006741022184091188
great,11,10,0.0006741022184091188
soft,11,9,0.0006741022184091188
always,11,8,0.0006741022184091188
ample,11,10,0.0006741022184091188
afraid,11,7,0.0006741022184091188
faith,11,10,0.0006741022184091188
butterflies,11,11,0.0006741022184091188
met,11,10,0.0006741022184091188
coming,11,10,0.0006741022184091188
woman,11,9,0.0006741022184091188
immortality,11,11,0.0006741022184091188
flowers,11,10,0.0006741022184091188
wait,11,8,0.0006741022184091188
hands,11,10,0.0006741022184091188
finished,11,9,0.0006741022184091188
another,11,10,0.0006741022184091188
early,11,10,0.0006741022184091188
everywhere,11,10,0.0006741022184091188
happy,11,8,0.0006741022184091188
power,11,10,0.0006741022184091188
years,11,9,0.0006741022184091188
given,11,10,0.0006741022184091188
peace,11,10,0.0006741022184091188
stars,11,11,0.0006741022184091188
hope,11,8,0.0006741022184091188
fire,11,9,0.0006741022184091188
told,11,11,0.0006741022184091188
dying,10,9,0.0006128201985537443
distant,10,9,0.0006128201985537443
storm,10,8,0.0006128201985537443
cool,10,9,0.0006128201985537443
touched,10,8,0.0006128201985537443
village,10,10,0.0006128201985537443
lived,10,8,0.0006128201985537443
mighty,10,10,0.0006128201985537443
close,10,10,0.0006128201985537443
things,10,7,0.0006128201985537443
sure,10,8,0.0006128201985537443
get,10,8,0.0006128201985537443
others,10,10,0.0006128201985537443
held,10,10,0.0006128201985537443
right,10,10,0.0006128201985537443
foot,10,9,0.0006128201985537443
feel,10,10,0.0006128201985537443
bring,10,7,0.0006128201985537443
gave,10,9,0.0006128201985537443
set,10,10,0.0006128201985537443
everlasting,10,10,0.0006128201985537443
gold,10,9,0.0006128201985537443
lips,10,9,0.0006128201985537443
human,10,9,0.0006128201985537443
butterfly,10,8,0.0006128201985537443
tune,10,10,0.0006128201985537443
east,10,9,0.0006128201985537443
something,10,7,0.0006128201985537443
amber,10,8,0.0006128201985537443
creature,10,10,0.0006128201985537443
morn,10,10,0.0006128201985537443
fit,10,10,0.0006128201985537443
around,10,10,0.0006128201985537443
solemn,10,9,0.0006128201985537443
child,10,9,0.0006128201985537443
comes,10,10,0.0006128201985537443
distance,10,10,0.0006128201985537443
alone,10,9,0.0006128201985537443
