bigram,count,doc_freq,rel_freq
asked thing,2,2,0.0001260239445494644
way '',2,2,0.0001260239445494644
soul selects,2,2,0.0001260239445494644
selects society,2,2,0.0001260239445494644
things fly,2,2,0.0001260239445494644
know lonely,2,2,0.0001260239445494644
lonely houses,2,2,0.0001260239445494644
houses road,2,2,0.0001260239445494644
barred windows,2,2,0.0001260239445494644
door ajar,2,2,0.0001260239445494644
fight aloud,2,2,0.0001260239445494644
aloud brave,2,2,0.0001260239445494644
night almost,2,2,0.0001260239445494644
almost done,2,2,0.0001260239445494644
read sweet,2,2,0.0001260239445494644
sweet others,2,2,0.0001260239445494644
others strove,2,2,0.0001260239445494644
pain element,2,2,0.0001260239445494644
element blank,2,2,0.0001260239445494644
taste liquor,2,2,0.0001260239445494644
liquor never,2,2,0.0001260239445494644
never brewed,2,2,0.0001260239445494644
ate drank,2,2,0.0001260239445494644
drank precious,2,2,0.0001260239445494644
precious words,2,2,0.0001260239445494644
time hate,2,2,0.0001260239445494644
large enough,2,2,0.0001260239445494644
little little,2,2,0.0001260239445494644
whether bark,2,2,0.0001260239445494644
bark went,2,2,0.0001260239445494644
went sea,2,2,0.0001260239445494644
eye upon,2,2,0.0001260239445494644
belshazzar letter,2,2,0.0001260239445494644
brain within,2,2,0.0001260239445494644
within groove,2,2,0.0001260239445494644
right white,2,2,0.0001260239445494644
white election,2,2,0.0001260239445494644
election mine,2,2,0.0001260239445494644
ages steal,2,2,0.0001260239445494644
left sweet,2,2,0.0001260239445494644
sweet two,2,2,0.0001260239445494644
two legacies,2,2,0.0001260239445494644
father would,2,2,0.0001260239445494644
would content,2,2,0.0001260239445494644
alter hills,2,2,0.0001260239445494644
elysium far,2,2,0.0001260239445494644
doubt dim,2,2,0.0001260239445494644
dim companion,2,2,0.0001260239445494644
without stint,2,2,0.0001260239445494644
coming fall,2,2,0.0001260239445494644
always love,2,2,0.0001260239445494644
dost thou,2,2,0.0001260239445494644
got brook,2,2,0.0001260239445494644
brook little,2,2,0.0001260239445494644
nobody knows,2,2,0.0001260239445494644
yet little,2,2,0.0001260239445494644
look little,2,2,0.0001260239445494644
little brook,2,1,0.0001260239445494644
little arctic,2,2,0.0001260239445494644
arctic flower,2,2,0.0001260239445494644
river runs,2,2,0.0001260239445494644
runs thee,2,2,0.0001260239445494644
sea look,2,2,0.0001260239445494644
could die,2,2,0.0001260239445494644
could stand,2,2,0.0001260239445494644
heaven know,2,2,0.0001260239445494644
came day,2,2,0.0001260239445494644
day summer,2,2,0.0001260239445494644
summer full,2,2,0.0001260239445494644
ceded stopped,2,2,0.0001260239445494644
long parting,2,2,0.0001260239445494644
parting time,2,2,0.0001260239445494644
second time,2,2,0.0001260239445494644
wife finished,2,2,0.0001260239445494644
rose requirement,2,2,0.0001260239445494644
requirement dropped,2,2,0.0001260239445494644
come slowly,2,2,0.0001260239445494644
slowly eden,2,2,0.0001260239445494644
new feet,2,2,0.0001260239445494644
feet within,2,2,0.0001260239445494644
within garden,2,2,0.0001260239445494644
garden go,2,2,0.0001260239445494644
pink small,2,2,0.0001260239445494644
small punctual,2,2,0.0001260239445494644
every human,2,2,0.0001260239445494644
human soul,2,2,0.0001260239445494644
murmur bee,2,2,0.0001260239445494644
breaking day,2,2,0.0001260239445494644
perhaps like,2,2,0.0001260239445494644
like buy,2,2,0.0001260239445494644
buy flower,2,2,0.0001260239445494644
could never,2,2,0.0001260239445494644
bees clover,2,2,0.0001260239445494644
pedigree honey,2,2,0.0001260239445494644
sabbath going,2,2,0.0001260239445494644
going church,2,2,0.0001260239445494644
bee afraid,2,2,0.0001260239445494644
